question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
35,"O 
mapa 
representa 
os 
caminhos 
percorridos nos séculos XVII e XVIII 
pelas bandeiras, expedições armadas por 
particulares, chamados de bandeirantes. 
Estes percorriam o território da América 
para, entre outros objetivos, aprisionar 
e escravizar indígenas e procurar por 
fontes de metais preciosos.
A partir da leitura do mapa, pode-se 
afirmar corretamente que","os 
bandeirantes, 
em 
suas 
expedições, respeitaram os limites 
territoriais definidos pelo Tratado 
de Tordesilhas, em 1494","as bandeiras se originaram nos 
territórios 
espanhóis 
do 
atual 
Uruguai e, de lá, percorreram a 
América do Sul em todas as direções","a ação das bandeiras contribuiu 
para 
a 
ampliação 
dos 
limites 
territoriais do Brasil para além 
daqueles definidos, em 1494, pelo 
Tratado de Tordesilhas","o processo de colonização do Brasil 
se iniciou na região de Olinda 
e Recife, de onde partiram as 
principais rotas dos bandeirantes","as fronteiras atuais do Brasil foram 
definidas no final do século XVIII, 
quando as expedições bandeirantes 
terminaram.
Fonte dos dados: MONTEIRO, John M. Negros da terra – índios e bandeirantes nas origens de São Paulo. São Paulo, 
Companhia das Letras, 1994, p. 13",Vestibulinho 1SEM2022,C
36,"As cooperativas de catadores são responsáveis por buscar e receber os descartes de materiais possíveis de reutilização.
Nas usinas de reciclagem, os materiais recebidos são separados por meio de processos que se baseiam nas propriedades 
dos materiais, como densidade, imantação e outros.
A propriedade física densidade é a razão entre a massa e o volume de uma amostra de um mesmo material. Por exemplo, 
a razão entre a massa de uma barra de alumínio e o volume ocupado por essa mesma barra é 2,7 g/cm3, portanto 
dizemos que essa é a densidade do alumínio (dAl = 2,7 g/cm3).
Aplicando o conceito de densidade, a massa de alumínio, em gramas, que será reciclada de uma escultura que ocupa o 
volume de 50 cm3, é","2,7","13,5","27,0","135,0","270,0",Vestibulinho 1SEM2022,D
37,"Há momentos que exigem sermos fortes para enfrentarmos dificuldades.
Leia os quadrinhos.
Com base na interpretação dos 
quadrinhos, 
pode-se 
concluir 
corretamente que","a 
emoção 
se 
liberta 
facilmente dos erros do 
passado e do medo de errar","a razão supera o medo de 
errar depois de a emoção 
se libertar dos erros do 
passado","a razão é a única responsável 
por guiar as ações de se 
libertar do passado e por 
errar no percurso da vida","a 
emoção 
norteia 
as 
decisões futuras e a razão 
apenas analisa os erros do 
passado","a razão e a emoção devem 
avançar juntas, libertando-
se dos erros do passado e 
do medo de errar",Vestibulinho 1SEM2022,E
38,"O trabalho infantil é ilegal e priva as crianças de uma infância normal, impedindo-as não só de frequentar a 
escola e estudar normalmente, mas também de desenvolver de maneira saudável todas as suas capacidades 
e habilidades. Antes de tudo, o trabalho infantil é uma grave violação dos direitos humanos e dos direitos e 
princípios fundamentais no trabalho.
De acordo com o Fundo das Nações Unidas para a Infância (UNICEF), o número de crianças e adolescentes em 
situação de trabalho infantil chegou a 160 milhões em todo o mundo – um aumento de 8,4 milhões de meninas 
e meninos nos últimos quatro anos, de 2016 a 2020. Dados coletados pelo UNICEF em São Paulo apontam para o 
agravamento da situação de trabalho infantil durante a pandemia.
De acordo com os textos, o trabalho infantil",foi liberado pela ONU para as crianças com menos de 14 anos durante a pandemia de COVID–19,"é coordenado pela UNICEF, que regulariza essa prática em todos os países do mundo",é incentivado pelo Estado para que as crianças ajudem nas despesas de casa,"foi eliminado do Brasil, mas está em crescimento nos outros países do mundo",é ilegal e dificulta a vida escolar e o desenvolvimento saudável da criança,Vestibulinho 1SEM2022,E
39,"Leia o texto.
Assinale a frase que é um contraponto ao 
posicionamento da personagem sobre o 
medo.","“Aprendi que a coragem não é a 
ausência do medo, mas o triunfo 
sobre ele”.
 (Nelson Mandela)","“Um 
dos 
efeitos 
do 
medo 
é 
perturbar os sentidos e fazer que 
as coisas não pareçam o que são”. 
(Miguel de Cervantes)","“O medo é, dos sentimentos humanos, 
o mais dissolvente, porque nos leva a 
fazer muita coisa que não queremos 
fazer, e deixar de fazer muita coisa que 
queríamos e necessitávamos fazer”. 
(Josué de Castro)","“O medo é a extrema ignorância em 
momento muito agudo”. 
 (João Guimarães Rosa)","“Os homens se dividem em duas 
espécies: os que têm medo de viajar 
de avião e os que fingem que não têm”. 
 (Fernando Sabino)",Vestibulinho 1SEM2022,A
40,"Sobre a ação do sabão, é correto afirmar que","sua capacidade de interagir com as moléculas de água permite transformar a gordura em outras substâncias mais 
solúveis na água",sua interação com as moléculas de gordura se deve à extremidade da sua estrutura denominada cabeça,interage com as moléculas de água por meio da extremidade conhecida como cauda,"remove as moléculas de água presentes na nossa pele, mantendo sobre ela as de gordura",está relacionada à capacidade de interação da sua estrutura tanto com água quanto com gordura,Vestibulinho 1SEM2022,E
41,"Analisando o infográfico, podemos concluir corretamente que",o vírus está envolto por uma camada de gordura que ajuda a infectar as células humanas,o material genético do vírus está localizado nas proteínas que ajudam a infectar as nossas células,"o sabão rompe a camada de gordura protetora do vírus, liberando seu material genético, que será levado pela água",a parte da estrutura do sabão que interage com a água é denominada hidrofóbica,a extremidade do sabão que quebra a membrana lipídica do vírus é denominada hidrofílica,Vestibulinho 1SEM2022,C
42,"Releia atentamente a passagem apresentada, observando o contexto de ocorrência dos termos em destaque.
Assinale a alternativa que apresenta, respectivamente, sinônimos adequados às palavras destacadas.","rigorosamente, em cima das, certamente, especificidade e condicionamento","afetuosamente, por respeito às, ocasionalmente, temperamento e simpatia","avidamente, a respeito das, porventura, honestidade e qualidade","rispidamente, durante, às vezes, incapacidade e aparência","seriamente, acerca das, possivelmente, índole e habilidade",Vestibulinho 1SEM2022,E
43,"O trecho apresentado mostra o personagem Harry Potter, protagonista de uma série de livros infantojuvenis, no momento 
de escolha de sua carreira.
Com base nas informações do trecho, depreende-se corretamente que a escolha de uma profissão",não deve ser abordada pela escola a fim de não influenciar a decisão a ser feita pelos estudantes,independe do desempenho e do desenvolvimento acadêmico do estudante durante sua vida escolar,"exige a intervenção de profissionais da educação para, por meio de coerção, impor opções adequadas socialmente 
aos jovens","dispensa o acompanhamento das tendências de mercado de trabalho para, assim, elaborarem-se as disciplinas 
ofertadas aos estudantes","pressupõe o auxílio da escola aos estudantes no processo de construção do autoconhecimento e de planejamento 
para alcançar seus objetivos",Vestibulinho 1SEM2022,E
44,"Considerando que exista um total de 12 N.I.E.M.s, a alternativa cujo esquema representa o percentual mais próximo do 
número mínimo de N.I.E.M.s que um estudante de Hogwarts deve ter cursado para estar apto a seguir a carreira de auror é
N.I.E.M.S cursados
N.I.E.M.S cursados
(D)","N.I.E.M.S não cursados
N.I.E.M.S não cursados
N.I.E.M.S cursados
N.I.E.M.S cursados",,N.I.E.M.S não cursados,,"N.I.E.M.S não cursados
N.I.E.M.S não cursados
N.I.E.M.S cursados",Vestibulinho 1SEM2022,A
45,"O cotidiano da escravidão foi marcado por diversas formas de violências perpetradas por senhores e feitores, cujo 
intuito era submeter as pessoas escravizadas e evitar a rebelião contra este regime de trabalho. Muitas estratégias de 
resistência, porém, foram articuladas por escravizados.
Entre elas, é correto mencionar","a Greve Geral de 1917, encabeçada pelos escravos de ganho de São Paulo e Rio de Janeiro","a greve de fome realizada por Nelson Mandela na prisão, em Joanesburgo, na África do Sul, em 1948",a onda de rebeliões de escravizados que se iniciou nas fazendas de café na Amazônia e no Rio Grande do Sul,"a revolução do Haiti, que derrubou o governo colonial português e estabeleceu a primeira monarquia das Américas","a formação de quilombos, comunidades estabelecidas por escravos fugidos em diferentes partes do Brasil",Vestibulinho 1SEM2022,E
46,"Em 07 de setembro de 2022, o Brasil celebra os 200 anos de sua Independência, 
ocorrida em 1822. Entretanto, grande parte dos historiadores afirma que o 
processo de Independência começou anos antes, em 1808, quando a família 
real portuguesa chegou ao Brasil.
Sua chegada provocou transformações radicais na colônia e, principalmente, 
na cidade do Rio de Janeiro. Foram construídos chafarizes, pontes e calçadas; 
ruas e estradas foram abertas e pavimentadas. Entre 1808 e 1822, o número de 
habitantes da capital da colônia dobrou, chegando a cerca de 100 mil pessoas, 
muitos deles europeus que vinham tentar ganhar a vida no Brasil. Eram 
médicos, professores, alfaiates, farmacêuticos, modistas, cozinheiros, padeiros 
e formavam um grande contingente de mão de obra qualificada.
Por outro lado, os trabalhos mais duros continuavam sendo exercidos pelos 
escravizados, que eram utilizados nos serviços domésticos, no comércio e no 
transporte de todo o tipo de produtos pelas ruas da cidade.
Os eventos descritos no texto","precipitaram a abolição da escravidão e a qualificação profissional dos libertos, que passaram a exercer profissões 
especializadas","desorganizaram o núcleo urbano do Rio de Janeiro, impedindo a realização de obras públicas e, consequentemente, 
causando desemprego e precarização do trabalho","provocaram a diminuição da população da colônia, que caiu pela metade no início do século XIX, em razão da 
instabilidade provocada pela chegada de grande número de imigrantes","incentivaram a industrialização acelerada do Sudeste, especialmente de São Paulo, e a formação de uma classe 
operária influenciada por ideias trazidas por italianos e alemães","promoveram uma modernização urbana que atraiu profissionais qualificados da Europa, mas não alteraram as 
estruturas escravistas da sociedade brasileira do século XIX",Vestibulinho 1SEM2022,E
47,"Leia a reportagem.
Na sexta-feira, 18 de março de 2022, a Operação Andrápodon resgatou oito vítimas de trabalho análogo 
ao escravo, na cidade de São Paulo. Durante a ação, oito imigrantes bolivianos foram libertados em uma 
confecção no Bom Retiro, na região central da capital.
Duas pessoas foram presas por tráfico de pessoas e organização criminosa. As vítimas trabalhavam até 14 
horas por dia e ficavam 24 horas no mesmo local, dormindo ao lado da máquina de costura.
[...] “Essa operação é composta por três etapas: a primeira é de acolhimento; a segunda é um trabalho 
relacionado à capacitação, no qual as pessoas farão cursos de português e profissionalizantes, para 
inclusão social e profissional; a terceira etapa é de regularização, por meio do Centro de Integração da 
Cidadania do Imigrante (CIC) e do Núcleo de Enfrentamento ao Tráfico de Pessoas”, afirmou o Secretário de 
Justiça e Cidadania.
De acordo com a reportagem, é correto afirmar que",as pessoas resgatadas do trabalho análogo ao escravo serão deportadas para seu país de origem,"o trabalho escravo foi legalmente extinto no Brasil no século XX, mas ainda resiste em alguns bairros periféricos da 
capital paulista","a entrada de imigrantes é proibida no bairro do Bom Retiro, o que caracteriza a situação de trabalho análogo ao 
escravo desses imigrantes","os trabalhadores resgatados apresentavam carteira assinada e cumpriam uma jornada de trabalho legal, de acordo 
com a legislação trabalhista brasileira","um dos elementos que caracterizam o trabalho análogo ao escravo são as condições degradantes de trabalho, 
constatadas pela Operação Andrápodon",Vestibulinho 1SEM2022,E
